"Translation Info:
#---------------------------
118,2,111,"""Nama yahuudaa yookiin kiristaana ta’e malee jannata hin seenu” jedhanKun hawwii isaaniiti“Yoo kan dhugaa dubbattan taataniif ragaa keessan fidaa"" jedhi.",""
119,2,112,"(Dubbiin akka isin jettanii) miti; namni gaarii dalagaa fuula isaa Rabbiif kenne mindaan isaa Rabbii isaa bira isaaf jira; sodaan isaan irra hin jiru; isaan hin gaddanus.",""
120,2,113,"Oduma kitaaba qara’anuu yahuudonni “kiristaanonni homaa irra (amantii sirrii ta’e hordofaa) hin jiranu” jedhu; Kiristaanonnis “yahuudonni homaa irra hin jiranu” jedhuAkkuma san warri hin beekne fakkaataa jecha isaanii dubbatanRabbiin Guyyaa Qiyaamaa gidduu isaaniitti waan isaan isa keessatti wal dhabaa turan irratti murteessa.",""
121,2,114,"Nama masjiidota Rabbii akka isaan keessatti maqaan Rabbii hin faarfamne dhorgeefi onsuu isaaniitiif carraaqe caalaa namni miidhaa hojjate hin jiruWarri sun haala sodaan guutamaniin malee isaan (masjiidota Rabbii) seenuun isaaniif hin ta’uIsaaniif addunyaa keessatti salphinatu jiraAmmas isaaniif Aakhiratti adabbii guddaa ta’etu jira.",""
122,2,115,"Bahaafi Dhiitis kanuma RabbiitiKanaafuu gara feetan yoo gara galtan, Fuulli Rabbii achuma jiraDhugumatti, Rabbiin (rahmanni Isaa) bal’aadha; hunda beekaadha.",""
123,2,116,"""Raabbiin ilma godhate"" jedhanInni qulqullina isaaf (malu ququllaa'e)Dhugaatti wanti samiifi dachii keessa jiru (hundi) kan IsaatiHunduu isaaf ajajamoodha.",""
124,2,117,"(Inni) argamsiisaa samiifi dachiitiYeroo dhimma wahii murteesses, wanti Inni isaan jedhu argamii qofa; yeroma san argama.",""
125,2,118,"Warri (homaa) hin beekne: ""maaliif Rabbiin nuun hin dubbanne yookiin maaliif mallattoon wahii nuuf hin dhufne? jedhu; akkasuma warri isaaniin duraa fakkaataa jecha isaanii dubbatanOnneen isaanii wal fakkaatteDhugumatti, Nuti namoota (amantii Rabbii) mirkaneeffataniif mallattoolee (keenya) ifa taasifnee jirra",""
126,2,119,"Nuti dhugaan gammachiisaafi akeekkachiisaa taasifnee si ergineAti warra ibiddaa irraa hin gaafatamtu.",""
127,2,120,"Yahuudotas ta’anii kiristaanonni hanga ati amantii isaanii hordoftutti sirraa hin jaalatanu(Yaa Muhammad! SAW) ""Dhugumatti qajeelfamni Rabbii isuma qofatu qajeelfama (sirriidha)"" jedhiErga beekumsa irraa sitti dhufee yoo fedha lubbuu isaanii hordofte, Rabbi irraa jaalallees ta’ee tumsaan siif hin jiru.",""
128,2,121,"Isaannan Nuti kitaaba (Tawraatiin yookiin Qur’aana) isaaniif kennine qaraatii (hordoffii) malu isa qara’uIsaan isatti amanuNamni isatti kafares, isaan warra hoonga’oodha.",""
129,2,122,"Yaa ilmaan Israa’iil! Ni’imaa kiyya kan Ani isin irratti oole san yaadadhaa; Ani Aalama hunda irra isin caalchisuu kiyyaas [yaadadhaa].",""
130,2,123,"Guyyaa lubbuun tokko lubbuu biraa hin fayyanne, kan gumaanis ishee irraa hin fuudhamne, araarri homaatuu ishee hin fayyanneefi isaanis tumsa hin arganne sodaadhaa.",""
131,2,124,"Yeroo Ibraahiimiin Gooftaan isaa jechootaan isa mokkoree (Ibraahiimis) isa guute [yaadadhaa](Rabbiinis) ""Dhugu-matti, Ani namootaaf imaama (dursaan) si taasisa"" jedhe(Ibraahiim) ni jedhe:""Sanyii kiyya irraas (taasisi)."" (Rabbiinis) ni jedhe: ""Waadaan (nabiyyummaan) kiyya warra miidhaa hojjatan hin argatu.""",""
132,2,125,"Yeroo Manicha (Ka’abaa) namootaaf iddoo deddeebiifi iddoo nagaa taasifnes [yaadadhaa]Maqaama Ibraahiim irraas iddoo salaataa taasifadhaa(Nutis) Ibraahiimiifi Ismaa’iiliin mana Kiyya warra isa irra naanna’aniif, warra keessa taa’aniifi warra (isa keessatti) rukuu’aafi sujuuda godhaniif qulqulleessuu isaan ajajnee jirra.",""
133,2,126,"Yeroo Ibraahiim ""Gooftaa kiyya! Magaalaa kana (Makkaan) iddoo tasgabbii taasisiWarra (jiraattota) isaas, namoota isaan irraa Rabbiifi guyyaa Aakhiraatti amaneef fuduraalee irraa soorata isaaniif kenni"" jedhe [yaadadhaa](Rabbiinis) ""Nama kafares (niin nyaachisa); Ani xiqqoon isa qanansiisee ergasii gara adabbii ibiddaattin isa geessaIddoo deebii kan akkaan fokkateedha!"" jedhe.",""
134,2,127,"Yeroo Ibraahiimiifi Ismaa’iil ""Yaa Rabbi Ati dhagahaa beekaa dhaa! nurraa qeebali"" jedhaa; bu’uura manaa (Ka’abaa) ol fuudhan (ummataaf himi).",""
135,2,128,"""Gooftaa keenya! Nu lamaanuu Siif ajajamtoota nu taasisi; sanyii keenya irraas ummata Siif ajajamtoota (taasisi)‘Manaasika’ keenyas (sirnoota hajjiifi umraah irratti raawwachuu qabnus) nutti agarsiisiTawbaa keenyas nurraa qeebaliDhugumatti, Ati Situ akkaan tawbaa qeebalaa, akkaan rahmata godhaadha.",""
136,2,129,"Gooftaa keenya! Ergamaa isaan irraa ta’e kan keeyyattoota kee isaan irratti qara’u, kan kitaabaafi ogummaa isaan barsiisee isaanis qulqulleessu isaan keessatti ergiDhugumatti, Ati Situ akkaan injifataa, ogeessa.""",""
137,2,130,"Sila nama lubbuu isaa gowwoomse malee namni amantii Ibraahiim irraa gara galu ni jiraa? addunyaa keessattis isa filannee jirra; dhugumatti, inni Aakhiraa keessattis warra gaggaarii irraayyi.",""
138,2,131,"Yeroo Gooftaan isaa ""(Rabbiin jala) butami"" isaan jennaan, [Inni] ""Gooftaa aalamaa jala butameera"" jedhe [yaadadhu].",""
139,2,132,"Ibraahiim ilmaan isaatiif ishee (Islaamummaa) dhaamee ture; Ya’aquubiis (sanuma dhaame); ""Yaa ilmaan kiyya! Dhugumatti, Rabbiin amantii isiniif filee jiraa Muslimoota taatanii malee hin du’inaa"" (jedhe).",""
140,2,133,"Sila yeroo Ya’aquubitti duuti dhufnaan ilmaan isaatiin ""ana booda maal gabbartu?"" jedhu isin bira jirtumoo? Isaanis ni jedhan: ""Nuti Gooftaa kee, Gooftaa abboota kee Ibraahiim, Ismaa’iiliifi Isihaaq gabbaramaa tokkicha kan ta’e gabbarraNuti Isaaf ajajamtoota (Muslimoota).""",""
141,2,134,"Dhugumatti isheen sun ummata dabarteIsheedhaaf mindaa waan oomishteetu jira; Isiniifis mindaa waan oomishtaniitu jiraIsinis waan isaan hojjataa turan irraa hin gaafatamtanu.",""
142,2,135,"""Ni qajeeltuu Yahuudaa yookiin Kiristaanota ta’aa"" jedhan""Dhugaatti karaa Ibraahiim isa qajeelaa ta’e (hordofna); Innis mushrikoota irraa hin taane"" jedhi.",""
143,2,136,"(Mu’uminoonni) jedhaa: “Nuti Rabbitti amannee jirra; waan gara keenyatti buufamettis; waan gara Ibraahiim, Ismaa’iil, Isihaaq, Ya’aquubii[]fi Asbaaxitti buufametti (amannee jirra)Waan Muusaafi Iisaan kennamanittisWaan nabiyyootaaf Gooftaa isaanii irraa kennamettis (amannee jirra)Isaan irraa gidduu nama tokkoos addaan hin baafnuNutis warra Isaaf butameedha.”",""
144,2,137,"Yoo fakkaataa waan isin itti amantaniititti amananiif dhugumatti qajeelaniiruYoo isa irraa gara galan immoo isaan wal faallessuu qofa keessa jiruRabbiinis isaan siif ga’a (sirraa dhorga)Innis akkaan dhagayaa, akkaan beekaadha.",""
145,2,138,"Halluu Rabbii isa uumamaa (amantii Isaa) (qabadhaa)Namni Rabbirra halluu dibuu tolchu eenyu? Nuti isuma gabbarra",""
146,2,139,"(Yaa Muhammad! Yahuudotaafi Kiristaanotaan) jedhi: “odoo Inni Gooftaa keenyaafi Gooftaa keessan ta’ee jiruu, nuufis dalagaan keenya, isiniifis dalagaan keessan jiruu, waa’ee Rabbii keessatti nuun falmituu? Nuti (amantii) Isaaf qulqulleessoodha.",""
147,2,140,"Sila Ibraahiim, Ismaa’iil, Isihaaq, Ya’aquubiifi Asbaax yahuudota yookiin kiristaanota turan jettuu? Sila isintu irra beekamoo Rabbi?” jedhiinSila nama ragaa Rabbirraa bu’e kan isa bira jiru dhokse caalaa namni miidhaa hojjate eenyu? Rabbiinis waan isin dalagdan dagataa miti.""",""
148,2,141,"Dhugumatti isheen sun ummata dabarteIsheefis mindaa waan oomishteetu jira; Isiniifis mindaa waan oomishtaniitu jiraIsinis waan isaan hojjataa turan irraa hin gaafatamtanu",""
149,2,142,"Namoota irraa warri gowwaan ""Sila qiblaa irra turan (Beytal-Maqdis)irraa maaltu isaan garagalche?"" jedhu""Kallattiin Bahaafi Dhihaas kanuma RabbiitiInni nama fedhe gara karaa sirrii qajeelcha"" jedhi.",""
150,2,143,"Akkasuma (akkuma isin qajeelchinetti) namoota irratti ragaa akka taatanuufi ergamichis ragaa isin irratti ta’uuf jecha filatamtuu ummataa isin taasifneNuti qiblaa ati irra turtes nama ergamaa hordofuufi nama (amantii irraa) duubatti deebi’u eenyu akka ta’e beekuuf malee hin taasifneDhugumatti sun warra Rabbiin qajeelche irratti malee ulfaattuu turteRabbiin iimaana (salaata) keessan (kan gara Beytal-Maqdis gara galtanii sagadaa turtan) kan balleessu hin taaneDhugumatti, Rabbiin namootaaf mararfataa, rahmata godhaadha.",""
151,2,144,"Dhugumatti, gara samii deddeebi’uu fuula keetii arginee jirraGara qiblaa ati jaallattuu si deebisuuf jirra(Ammuma) fuula kee gara Masjidal-Haraam (Ka’abaatti) gara galchiEessallee yoo taatan fuula keessan gara isaa gara galchaaDhugumatti, warri kitaabni kennameef akka inni dhugaa Gooftaa isaanii irraa ta'e ni beekuRabbiinis waan isaan hojjatan irraa dagataa miti.",""
152,2,145,"|Odoo warra kitaabni isaaniif kennametti mallattoo hundaan itti dhufteeyyuu qiblaa kee hin hordofanuAtis qiblaa isaanii kan hordoftu hin taaneGariin isaaniis qiblaa garii isaanii kan hordofanu hin taaneDhugumatti, erga beekumsa irraa waa sitti dhufee booda odoo fedha lubbuu isaanii hordoftee, ati yoos warra akkaan miidhaa hojjatanu irraa taata turte.",""
153,2,146,"Warri Nuti kitaaba isaaniif kennine akkuma ilmaan ofii beekanitti isa (Ergamicha) beekuDhugumatti gareen isaan irraa ta’e odoo beekanuu dhugaa dhoksu.",""
154,2,147,"Dhugaan Gooftaa kee irraayiKanaafuu warra shakkan irraa hin ta’in.",""
155,2,148,"Hawaasa hundaafuu kallattii isaan itti gara galantu jiraToltuu irratti wal dorgomaaEessallee yoo taatan Rabbiin (Guyyaa Qiyaamaa) hunda keessanuu ni fidaDhugumatti, Rabbiin waan hunda irratti danda’aadha.",""
156,2,149,"Iddoma (imalaaf) baate kamirraayyuu fuula kee gara Masjidal Haraam gara galchiDhugumatti, inni dhugaa Gooftaa kee irraa ta’eRabbiinis waan isin dalagdan dagataa hin taane.",""
157,2,150,"Iddoma (imalaaf) baate kamirraayyuu fuula kee gara Masjiidal Haraam gara galchiEessallee yoo taatan akka namootaaf ragaan isin irratti hin jiraanneef, akka Anis qananii kiyya guutee isiniif kennuufi isinis (gara haqaa) qajeeltaniif jecha fuula keessan gara isaa gara galchaaGaruu isaan irraa warra miidhaa hojjatan hin sodaatinaatii Anuma qofa sodaadhaa.",""
158,2,151,"Akkuma ergamaa isin irraa ta’e kan keeyyattoota keenya isin irratti qara’u, isin qulqulleessu, kitaabaafi hikmaa (hadiisa) isin barsiisuufi waan isin hin beeknes isin barsiisu isin keessatti ergine (isin qanansiifne).",""
159,2,152,"Ana yaadadhaa; Anis isiniin yaadadhaaGalatas naaf galchaa; Nattis hin kafarinaa.",""
160,2,153,"Yaa warra amantan! Obsaafi salaataan gargaarsa barbaadaaDhugumatti, Rabbiin warra obsan waliin jira.",""
161,2,154,"Nama karaa Rabbii keessatti ajjeefamuun du’aadha hin jedhinaaDhugumatti isaan fayyaadha, garuu isin hin beektanu.",""
162,2,155,"Isaan warra yeroo balaan isaan tuqe ""dhugumatti nuti kan Rabbiiti, nuti gara Isaattis deebi’oodha"" jedhaniidha.",""
163,2,156,"Isaan warra faaruufi tolli Gooftaa isaanii irraa ta’e isaan irra jiruudhaWarri sun isaanumatu qajeelfamoodha.",""
164,2,157,"Isaan warra faaruufi tolli Gooftaa isaanii irraa ta’e isaan irra jiruudhaWarri sun isaanumatu qajeelfamoodha.",""
165,2,158,"Dhugumatti, Safaafi Marwaan mallattoolee Rabbii irraayyiNamni Manichatti hajja’e yookiin umraa godhe isaan lamaan jidduu naanna’uun badiin isarra hin jiruNamni fedhii isaatiin toltuu hojjates (ni mindeeffama)Rabbiin galateeffataa beekaadha",""
166,2,159,"Dhugumatti, isaannan waan Nuti buufne kan ragaawwan ifa ta’aniifi qajeelfama irraa ta’e erga kitaabicha (keenya) keessatti namootaaf addeessinee booda dhoksan, warra san Rabbiin isaan abaara; warri abaaranus isaan abaaru.",""
167,2,160,"Garuu warri tawbatanii, hojii gaarii hojjatanii, (dhugaa dhoksan san) ifatti mul’isan warra san tawbaa isaanii isaan irraa nan qeebalaAni akkaan tawba-qeebalaa, akkaan rahmata godhaadha.",""
168,2,161,"Dhugumatti, warri kafaranii kaafirtoota ta’anii du’an, sunniin abaarsi Rabbii, malaa’ikootaafi kan namoota hundaatuu isaan irra jiraata.",""
169,2,162,"Isii keessa yeroo hunda jiraatuadabbiin isaan irraa hin salphifamuBaallamnis isaaniif hin kennamu.",""
170,2,163,"Gabbaramaan keessan gabbaramaa tokkichaIsa malee dhugaan gabbaramaan hin jiru(Inni) akkaan mararfataa rahmata godhaadha.",""
171,2,164,"Dhugumatti uumama samiifi dachii, wal irraa bakka bu’uu halkaniifi guyyaa, doonii waan namoota fayyaduun galaana keessa yaatu, bishaan irraa waan Rabbiin samii irraa buusee ittiin dachii erga isiin duutee booda jiraachiseefi lubbu-qabeeyyii hunda irraa isii keessa facaase, bubbisa qilleensaafi duumessa samiifi dachii giddutti (uumamootaaf) mijeeffamanii keessa namoota xiinxalaniif mallattooleetu jira.",""
172,2,165,"Namoota irraas nama Rabbiin ala gabbaramoota (biraa) kan akka Rabbiin jaallatanutti isaan jaallatan godhatantu jiruIsaan amanan irra caalaa Rabbiin jaallatuWarri miidhaa hojjatanu yeroo adabbii argan akka humni hundi kan Rabbii ta’eefi Rabbiinis (abbaa) adabbii cimaa akka ta’e odoo arguu kan danda’an ta’anii (silaa gabbaramaa biraa hin godhatanu).",""
173,2,166,"Yeroo warri hordofaman warra hordofan irraa qulqullaayanii (akka isaan hin jallisin ibsanii)fi (yeroo) adabbii argan, hariiroon isaanii hundi yeroo isaan jalaa citu (odoo beekanii gabbaramaa biraa hin godhatanu ture).",""
174,2,167,"Isaan hordofanis ni jedhu: ""odoo carraan (gara addunyaa) deebi’uu nuuf jiraatee, silaa akkuma isaan nurraa qulqullaayan nutis isaan irraa qulqulloofna turre."" Akka kanatti Rabbiin hojiiwwan isaanii gaabbii (sheenaa) isaan irratti godhee isaanitti mul’isaIsaan ibidda irraas bahoo miti.",""
175,2,168,"Yaa namootaa! Waan dachii keessa jiru irraa halaala gaarii ta’e nyaadhaaTarkaanfiilee sheyxaanaas hin hordofinaaDhugumatti, inni isiniif diina ifa bahaadha.",""
176,2,169,"Kan inni itti isin ajaju hamtuu, waan fokkataafi Rabbi irratti waan hin beekne dubbachuudha.",""
177,2,170,"Yeroo ""waan Rabbiin buusetti amanaa"" isaanin jedhames, ""Lakkisaa; nuti waan abbootiin keenya hordofaa turan hordofna"" jedhuSila odoo abbootiin isaanii kan homaa hin beekneefi karaa qajeelaa irra hin jirre ta’anilleemoo?",""
178,2,171,"Fakkeenyi warra kafaranii, akka fakkeenya isa waan waamichaafi iyyansa malee hin dhageenyetti lallabuuti(Isaan) duudaa, arraba qabamaafi jaamaadha; isaan hin xiinxalanu.",""
179,2,172,"Yaa warra amantan! Gaggaarii waan nuti isiniif kenninee irraa nyaadhaa; yoo kan Isa gabbartan taatan, Rabbiifis galata galchaa.",""
180,2,173,"Kan Inni isin irratti dhorgamaa taasise baktii, dhiiga, foon booyyeetiifi waan (maqaan) Rabbiin alaa isa irratti ol fuudhame qofaNamni odoo halaalli mijaa’uu haraamatti darbuufi nyaata isaa keessatti daangaa darbuun maleetti rakkifame badiin isarra hin jiruDhugumatti, Rabbiin akkaan mararfataa rahmata godhaadha.",""
181,2,174,"Dhugumatti, isaan kitaaba irraa waan Rabbiin buuse dhoksanii gatii xiqqaa isaan bitatan, isaan sun garaa isaanii keessatti ibidda malee hin nyaatanuRabbiinis Guyyaa Qiyaamaa isaan hin dubbisu; isaan hin qulqulleessus; isaaniifis adabbii laalessaa ta’etu jira.",""
182,2,175,"Isaan warra qajeelumaan jal’ina, araaramaan immoo adabbii bitataniidhaSila maaltu ibidda irratti akkaan isaan obsisiise!",""
183,2,176,"Sun sababa Rabbiin kitaaba dhugaan buufnaan, warri kitaaba keessatti wal dhaban wal diddaa fagoo keessa ta’aniifi.",""
184,2,177,"Dalagaan gaariin fuula keessan gara bahaafi dhihaa naannessuu miti; haa ta’u malee dalagaan gaariin nama Rabbitti, Guyyaa Aakhiraatti, malaa’ikootatti, kitaabattiifi nabiyyootatti amanee, odoo jaallatuu qabeenya firaaf, yatiimaaf, hiyyeeyyiif, kara deemaaf, kadhattootaafi gabra bilisoomsuuf kennee, salaatas gadi dhaabee, zakaa kenneefi warra yeroo waadaa seenan waadaa isaanii guutanii, warra rakkina, dhukkuba hamaafi yeroo lolan obsaniidhaIsaan warra dhugaa qabataniIsaanis warra Rabbiin sodaataniidha.",""
185,2,178,"Yaa warra amantan! Ajjeechaa keessatti ""qisaasni"" (seerri adabbii wal qixxeessuu) isin irratti barreeffameeraBilisni bilisaan, gabrichi gabrichaan, dubartiin dubartiidhaanNamni obboleessa isaa irraa wanti tokko isaaf dhiifame, toltuun hordofuufi kaffaltiin gumaa dhiigaas haala gaariin raawwatamuutu irra jiraKun laaffisuufi rahmata Gooftaa keessan irraa ta’eedhaNamni sana booda daangaa dabre, isaaf adabbii laalessaa ta’etu jira.",""
186,2,179,"Yaa warra sammuu qabdan! ""Qisaasa"" keessa lubbuu (du’a) irraa baraaruutu isiniif jiraAkka isin ajjeechaa irraa eeggattaniif (kana goone) .",""
187,2,180,"Yeroo duuti tokkoon keessanitti dhufe, yoo kan qabeenya of duubatti dhiise ta’e: abbaa, haadhaafi firootaaf haala gaariin dhaamuun isin irratti murteeffameera",""
188,2,181,"Namni erga isa (dhaamsa) dhagayee booda isa jijjiire, badiin isaa warra isa jijjiiran irratti ta’aDhugumatti, Rabbiin dhagayaa, beekaadha.",""
189,2,182,"Namni isa dhaamu san irraa jal’ina yookiin badii sodaatee gidduu isaaniitti nagaa buuse, badiin isa irra hin jiruDhugumatti, Rabbiin akkaan mararfataa rahmata godhaadha.",""
190,2,183,"Yaa warra amantan! Akka isin Rabbiin sodaattaniif Soomni akkuma warra isin duraa irratti barreefametti (dirqama ta’etti) isin irrattis barreeffameera.",""
191,2,184,"Guyyoota lakkaa’amtuu (qofatu murteeffame)Isin irraa namni dhukkubsataa yookiin kara deemaa ta’e, guyyaa biraa irraa lakkaawwachuutu (isa irra jira)Warra isa (Soomuu) danda’an irratti kaffaltii (fidyaa) hiyyeessa nyaachisuutu jiraNamni fedha isaatiin toltuu dabalatee hojjate, sun isaaf caalaadhaYoo kan beektan taataniif soomuutu isiniif caala",""
192,2,185,"Jiini Ramadaanaa isa Qur’aanni namootaaf qajeelfamaafi ragaa ifa bahaa qajeelfamichaafi addaan baasaa (haqaafi kijibaa) ta’e keessa buufameedhaNamni isin irraa ji’a kana dhaqqabe isa haa soomuNamni dhukkubsataa yookiin kara deemaa ta’e, guyyaa biraa irraa lakkaawwachuutu (isa irra jira)Rabbiin isiniif laaffisuu fedha malee isin irratti jabeessuu hin fedhuAkka lakkoofsa (guyyaa isin irratti barreeffamee) guuttaniifi waan isin qajeelcheef akka Rabbiin guddiftaniif, akkasumas akka (Rabbiin) galateeffattaniif jecha (kana goone).",""
193,2,186,"Yeroo gabroonni kiyya Ana irraa si gaafatanis “dhugumatti, Ani isaanitti dhihoodha” (jedhiin)Kadhaa kadhataatiif yeroo inni na kadhate nan owwaadhaAkka qajeelaniif jecha naaf haa owwaatanu; nattis haa amananu.",""
194,2,187,"Halkan soomaa gara dubartoota (niitiwwan) keessanii dhaquun (qunnamtii saalaa gochuun) isiniif hayyamameeraIsaan isiniif uffata; isiniis isaaniif uffataRabbiin akka isin lubbuu keessan ganaa turtan beekee tawbaa keessan isin irraa qeebalee dhiifamas isiniif godheAmma isaan waliin qunnamtii saalaa godhaa; (ilmaan irraa) waan Rabbiin isiniif katabe barbaaddadhaaHanga barraaqa irraa jibriin adiin (bariisaa) jibrii gurraacha (dukkana halkanii) irraa adda fooyamutti nyaadhaatii dhugaaErgasii hanga halkaniitti sooma keessan guutaaOdoo masjiidoota keessa i’itikaafa taa’aa jirtanuu isaan waliin qunnamtii saalaa hin raawwatinaaSun daangaawwan Rabbiitii isheetti hin dhihaatinaaAkka Isa sodaataniif jecha akka kanatti Rabbiin keeyyattoota Isaa namootaaf ibsa.",""
195,2,188,"Qabeenya keessanis gidduu keessanitti sobaan hin nyaatinaaQabeenya namootaa irraa garii isaa odoo beektan cubbuun nyaachuuf jecha abbootii seeraatiifis malaan-maltummaan hin dhihaatinaa.",""
196,2,189,"(Yaa Muhammad!) Waa’ee baatii reefuu baatu irraa si gaafatu“Isheen namootaaf kan yeroo ibsituufi hajji (beeksiftuu)dha” jedhiDalagaan gaariin manneen boroo isaaniitiin seenuu keessanii mitiGaruu dalagaan gaariin (iimaana) nama Rabbiin sodaatuutiManneen balbaluma isheetiin seenaa; akka milkooftaniif jecha Rabbiinis sodaadhaa.",""
197,2,190,"Karaa Rabbii keessattis warra isiniin lolaniin lolaaDaangaas hin dabrinaaRabbiin warra daangaa dabran hin jaalatu.",""
198,2,191,"Warra isiniin lolan) bakkuma isaan argitanitti isaan ajjeesaaIddoo isaan isin baasan irraas isaan baasaaShirkiitu ajjeechaa caalaa hamaadhaMasjidal-Haraam biratti, yoo isaan isa keessatti isin waraanan malee isin isaan hin waraaninaaYoo isaan isin waraanan, isinis isaan ajjeesaa; galanni kaafirootaa akkuma kana.",""
199,2,192,"Yoo isaan (waraana) dhaabanii amantii seenan Rabbiin akkaan mararfataa rahmata godhaadha.",""
200,2,193,"Hanga shirkiin hafee amantiin Rabbiif qofa ta’utti isaaniin lolaaYoo isaan (lola) dhiisan, warra miidhaa hojjatu irratti malee diinomuun hin jiru.",""
201,2,194,"Baatiin kabajamaan baatuma sana keessa (galata galfama); kabajaan gamaa gamanaayi (yoo isaan baaticha san kabajan isiniis kabajju)Nama isin irratti daangaa dabre isinis fakkaatuma waan inni isin irratti daangaa dabreetiin isa irratti daangaa dabraaRabbiin sodaadhaa; Rabbiin warra Isa sodaatuu wajjiin ta’uus beekaa.",""
202,2,195,"Karaa Rabbii keessattis arjoomaaHarka keessaniin gara badiittis of hin darbinaaToltuus hojjadhaa; Dhugumatti, Rabbiin warra toltuu hojjatan ni jaalata.",""
203,2,196,"Hajjiifi umraa Rabbiif jecha guutaaYoo dhorgamtan, horii wareegaa (hadyii) irraa kan isiniif laafe (qalaa)Hanga hadyiin iddoo (qalma) isaa ga’uttis mataa keessan hin haaddatinaaNamni isin irraa dhukkubsate yookiin mataa isaa irra rakkoon jiraate, soomuun yookiin sadaqachuun yookiin qaluun 'fidyaa' haa baasuYeroo nagaa taatan, namni umraadhaan hanga hajjiitti qanani'e hadyii irraa waan isaaf laafetu irra jiraNamni hin argatin, guyyaa sadi hajjii keessatti, (guyyaa) torba immoo yeroo deebitan (soomuu qabdu)Sun (guyyaa) kudhan guutuudha(Hadyiin yookiin soomuun) sun nama maatiin isaa masjiidal-Haraam bira (jiraataa Makkaa) hin ta’iniif qofaRabbiin sodaadhaa; adabbiin Rabbii cimaa ta’uus beekaa",""
